,0
0,LOSD1
1,UNIT114
2,UNIT170
3,UNIT200
4,UNIT206
5,UNIT214
6,CHG001
7,CHG260
8,CHG480
9,CHG530
10,CHG500
11,CHG510
12,CHG610
13,CHG710
14,CHG720
15,CHG730
16,CHG740
17,CHG750
18,CHG771
19,CHG114
20,CHG800
21,CHG960
22,CHG170
23,CHG981
24,CHG481
25,CHG200
26,CHG206
27,CHG210
28,CHG214
29,CHG250
30,CHG270
31,CHG300
32,CHG320
33,CHG340
34,CHG350
35,CHG360
36,CHG370
37,CHG380
38,CHG400
39,CHG410
40,CHG420
41,CHG430
42,CHG440
43,CHG450
44,CHG460
45,SPC1
46,SPC2
47,SPC3
48,DISD
49,PPROCD
50,SPROC1D
51,SPROC2D
52,SPROC3D
53,SPROC4D
54,SPROC5D
55,SPROC6D
56,SPROC7D
57,SPROC8D
58,ADM_TYPE
59,ADMS
60,DISP
61,PPOA
62,SPOA1
63,SPOA2
64,SPOA3
65,SPOA4
66,SPOA5
67,SPOA6
68,SPOA7
69,SPOA8
70,SPOA9
71,SPOA10
72,SPOA11
73,SPOA12
74,SPOA13
75,SPOA14
76,COUNTY
77,PDIAG10
78,ADM_DIAG10
79,SDIAG10_1
80,SDIAG10_2
81,SDIAG10_3
82,SDIAG10_4
83,SDIAG10_5
84,SDIAG10_6
85,SDIAG10_7
86,SDIAG10_8
87,SDIAG10_9
88,SDIAG10_10
89,SDIAG10_11
90,SDIAG10_12
91,SDIAG10_14
92,PPROC10
93,SPROC10_1
94,SPROC10_2
95,SPROC10_3
96,SPROC10_6
97,SPROC10_7
98,SPROC10_8
99,SPROC10_9
100,SPROC10_10
101,SPROC10_11
102,SPROC10_12
103,PECODE10
104,SECODE10
105,MSDRG
106,MDC
107,APDRG20
108,ER
109,IP
110,RFA_ID
111,DISYEAR
112,ADMYEAR
113,INTERVAL
114,APDRGDSC
115,DISMTH
116,ADMMTH
117,PDATE
118,SDATE1
119,SDATE2
120,SDATE3
121,SDATE4
122,SDATE5
123,SDATE6
124,SDATE7
125,SDATE8
126,CC_GRP_2
127,CC_GRP_4
128,CC_GRP_6
129,CC_GRP_10
130,TOT_GRP
131,totalcc
132,wgtcc
133,sex1
134,urstat1
135,race1
136,age
137,payor2
138,acsc_flag
